2 6.681679500000001e-05 9.487658049635632e-06
4 6.685287000000001e-05 6.880611717687531e-06
6 6.577849500000001e-05 4.7026884183943125e-06
8 6.769926e-05 3.773803838150852e-06
10 6.892085500000001e-05 6.147054392700277e-06
12 6.8690575e-05 3.886008079721129e-06
14 6.987785500000001e-05 3.45501323517535e-06
16 6.900780500000001e-05 2.886378027449298e-06
18 6.902741000000002e-05 4.213741782973769e-06
20 7.192892e-05 3.297061721498161e-06
22 7.229843000000001e-05 2.6746665303409917e-06
24 7.325892999999999e-05 5.327662149484764e-06
