2	0.181366	0.000181366	0.0885379	8.85379e-05
4	0.182888	0.000182888	0.17384	0.00017384
6	0.194503	0.000194503	0.227418	0.000227418
8	0.203829	0.000203829	0.188375	0.000188375
10	0.215986	0.000215986	0.304944	0.000304944
12	0.265872	0.000265872	0.192677	0.000192677
14	0.312994	0.000312994	0.281673	0.000281673
16	0.324854	0.000324854	0.238795	0.000238795
18	0.351512	0.000351512	0.38672	0.00038672
20	0.364551	0.000364551	0.296828	0.000296828
22	0.468669	0.000468669	0.404394	0.000404394
24	0.512248	0.000512248	0.338101	0.000338101
